15, 29, 13, 房间05, 密码, 00040030, 00, 00, 游戏状态, 1, 用户进入, 0
15, 29, 13, 房间05, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
15, 29, 14, 房间05, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
15, 29, 15, 房间05, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
15, 29, 16, 房间05, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
15, 29, 17, 房间05, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
15, 29, 18, 房间05, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
15, 29, 19, 房间05, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
15, 29, 20, 房间05, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
15, 29, 21, 房间05, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
16, 49, 13, 房间00, 密码, 00040030, 00, 00, 游戏状态, 25, 用户进入, 0
16, 49, 13, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 14, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 15, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 16, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 17, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 18, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 19, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 20, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 21, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 22, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 23, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 24, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 25, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 26, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 49, 27, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 50, 58, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 50, 58, 房间00, 密码, 00040030, 00, 00, 游戏状态, 25, 用户进入, 0
16, 50, 59, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 51, 00, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 51, 01, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 51, 02, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 51, 03, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 51, 04, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 51, 05, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 51, 06, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 51, 07, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 51, 08, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 51, 09, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
16, 51, 10, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
