09, 34, 28, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 29, 房间00, 密码, 00040030, 00, 00, 游戏状态, 1, 用户进入, 0
09, 34, 29, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 30, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 31, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 32, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 33, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 34, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 35, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 36, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 37, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 38, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 39, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 40, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 41, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
09, 34, 42, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 37, 房间00, 密码, 00040030, 00, 00, 游戏状态, 1, 用户进入, 0
10, 04, 37, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 38, 房间00, 密码, 00040030, 00, 00, 游戏状态, 1, 用户进入, 1
10, 04, 38, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 39, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 40, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 41, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 42, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 43, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 44, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 45, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 46, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 47, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 48, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 49, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 50, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
10, 04, 51, 房间00, 密码, 00040030, 00, 00, 游戏状态, 24, 服务器, 游戏开始				
10, 04, 53, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 24, 定时器, 38, 游戏开始定时器		 
