11,51,54,房间00,密码,选项0,00,00,			游戏状态,0,提示信息,用户进入,用户,0
11,51,55,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
11,51,55,房间00,密码,选项0,00,00,		游戏状态,1,客户端, 0,同意游戏			
11,51,56,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,06,房间00,密码,选项0,00,00,			游戏状态,1,提示信息,用户进入,用户,1
11,52,07,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,08,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,09,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,10,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,11,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,12,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,13,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,14,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,15,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,16,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,17,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,18,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,19,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,20,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,21,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,22,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,23,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,24,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,25,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,26,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,27,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
11,52,28,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
