14,46,10,房间00,密码,选项0,00,00,			游戏状态,0,提示信息,用户进入,用户,0
14,46,12,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,13,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,14,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,15,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,16,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,17,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,18,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,19,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,20,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,21,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,22,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,23,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,24,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,25,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,26,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,27,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,28,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,29,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,30,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,31,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,32,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,33,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,34,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,35,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,36,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,37,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,38,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,39,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,40,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,41,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,42,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,46,42,房间00,密码,选项0,00,00,			游戏状态,0,提示信息,用户退出,用户,0
14,53,14,房间00,密码,选项0,00,00,			游戏状态,0,提示信息,用户进入,用户,0
14,53,15,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,53,16,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,53,17,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,53,18,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,53,19,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,53,20,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,53,21,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
14,53,22,房间00,密码,选项0,00,00,			游戏状态,0,提示信息,用户退出,用户,0
14,53,22,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
16,11,16,房间00,密码,选项0,00,00,			游戏状态,0,提示信息,用户进入,用户,0
16,11,17,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
16,11,18,房间00,密码,选项0,00,00,		游戏状态,0,定时器,40,
16,11,18,房间00,密码,选项0,00,00,		游戏状态,1,客户端, 0,同意游戏			
16,11,19,房间00,密码,选项0,00,00,		游戏状态,1,定时器,40,
16,11,28,房间00,密码,选项0,00,00,			游戏状态,1,提示信息,用户退出,用户,0
