17,26,32,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户进入,0
17,26,33,房间00,密码,00000000,00,00,		游戏状态,0,客户端, 0,代入金币限制
17,26,33,房间00,密码,00000000,00,00,游戏状态,0,服务器,显示代入金额
17,26,55,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户退出,0
17,26,55,房间00,密码,00000000,00,00,游戏状态,0,服务器,用户离开
23,02,02,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户进入,0
23,02,04,房间00,密码,00000000,00,00,		游戏状态,0,客户端, 0,代入金币限制
23,02,04,房间00,密码,00000000,00,00,游戏状态,0,服务器,显示代入金额
23,02,09,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户退出,0
23,02,09,房间00,密码,00000000,00,00,游戏状态,0,服务器,用户离开
23,10,07,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户进入,0
23,10,10,房间00,密码,00000000,00,00,		游戏状态,0,客户端, 0,代入金币限制
23,10,10,房间00,密码,00000000,00,00,游戏状态,0,服务器,显示代入金额
23,11,32,房间00,密码,00000000,00,00,			游戏状态,0,提示信息,用户退出,0
23,11,32,房间00,密码,00000000,00,00,游戏状态,0,服务器,用户离开
